635nm,520nm,405nm,jihe,cat,real
30.3041,30.2826,30.2493,30.726,1,30.7723
30.2881,30.2672,30.2316,30.741,1,30.7805
30.2949,30.271,30.2348,30.7467,1,30.7918
30.3193,30.2984,30.2623,30.7594,1,30.8025
30.339,30.3173,30.2816,30.7702,1,30.8109
30.3294,30.3054,30.2688,30.785,1,30.8201
30.3762,30.3523,30.3187,30.7912,1,30.8306
30.3435,30.3202,30.2875,30.8039,1,30.8388
30.352,30.3276,30.2946,30.8065,1,30.8518
30.3796,30.3595,30.3252,30.8151,1,30.8586
30.4152,30.3915,30.3566,30.8294,1,30.8725
30.3856,30.3643,30.3285,30.8419,1,30.8811
30.4396,30.419,30.3856,30.8472,1,30.8906
30.4214,30.3983,30.3651,30.8598,1,30.8993
30.4189,30.3941,30.3576,30.8651,1,30.911
30.4311,30.4083,30.3708,30.8808,1,30.92
30.46,30.4383,30.4055,30.8899,1,30.9297
30.4851,30.4604,30.4284,30.8975,1,30.9413
30.4502,30.4296,30.3945,30.9118,1,30.9475
30.481,30.4571,30.4216,30.9157,1,30.9597
30.506,30.4857,30.4522,30.9283,1,30.9712
30.4899,30.4683,30.4321,30.9353,1,30.9794
30.508,30.4848,30.451,30.947,1,30.9889
30.5137,30.4922,30.4578,30.955,1,30.9998
