635nm,520nm,405nm,target
30.248,30.2289,30.2083,1
30.2416,30.2225,30.1975,1
30.2461,30.2262,30.2026,1
30.2506,30.2314,30.2081,1
30.2519,30.2333,30.2088,1
30.2904,30.2708,30.2496,1
30.2647,30.2465,30.2233,1
30.3197,30.3012,30.2806,1
30.2838,30.2652,30.2412,1
30.2943,30.2749,30.2513,1
30.3494,30.3297,30.3055,1
30.3266,30.307,30.2846,1
30.3348,30.3148,30.2938,1
30.3729,30.3534,30.3296,1
30.3464,30.3267,30.3061,1
30.3632,30.3432,30.3218,1
30.3938,30.374,30.3527,1
30.3805,30.3616,30.3413,1
30.4281,30.41,30.3859,1
30.4183,30.3987,30.3764,1
30.4358,30.4176,30.3932,1
30.4406,30.4214,30.3984,1
30.4676,30.4492,30.4282,1
30.4431,30.4237,30.4033,1
30.4821,30.4634,30.4398,1
30.4514,30.4316,30.4103,1
29.5487,29.5247,29.4885,1
29.534,29.5108,29.4752,1
29.5425,29.5182,29.4861,1
29.5603,29.538,29.5044,1
29.5412,29.5178,29.483,1
29.5684,29.5456,29.5134,1
29.598,29.5733,29.5401,1
29.5871,29.5663,29.5315,1
29.6179,29.5974,29.5595,1
29.5995,29.5778,29.5419,1
29.6442,29.6203,29.5831,1
29.6477,29.6265,29.591,1
29.6571,29.636,29.6004,1
29.639,29.6141,29.5769,1
29.6665,29.6422,29.6047,1
29.6885,29.667,29.6334,1
29.69,29.6663,29.6311,1
29.6995,29.6754,29.6412,1
29.707,29.6859,29.6501,1
29.7179,29.6937,29.6614,1
29.7007,29.6784,29.6434,1
29.7436,29.7207,29.6833,1
29.7236,29.6988,29.6663,1
29.7415,29.7189,29.6852,1
29.7725,29.7479,29.7111,1
29.7977,29.7761,29.7401,1
29.8074,29.7853,29.7489,1
29.8192,29.7974,29.7625,1
29.8212,29.8007,29.7655,1
29.7977,29.7753,29.7384,1
29.8331,29.8098,29.776,1
29.8581,29.8361,29.8001,1
29.8279,29.8053,29.7706,1
29.8473,29.8232,29.787,1
29.8748,29.8538,29.8194,1
29.8869,29.863,29.8251,1
